일시,기온
2012-01-27,-0.413043478
2012-01-28,-0.470833333
2012-01-29,-2.025
2012-01-30,-4.016666667
2012-01-31,-4.241666667
2012-02-01,-8.4625
2012-02-02,-12.29583333
2012-02-03,-10.17916667
2012-02-04,-3.183333333
2012-02-05,-1.308333333
2012-02-06,0.058333333
2012-02-07,-5.183333333
2012-02-08,-7.583333333
2012-02-09,-4.845833333
2012-02-10,-1.925
2012-02-11,-4.016666667
