일시,기온
2022-01-27,-0.970833333
2022-01-28,-1.679166667
2022-01-29,-3.125
2022-01-30,-4.45
2022-01-31,-2.55
2022-02-01,-0.404166667
2022-02-02,-1.945833333
2022-02-03,-6.4
2022-02-04,-0.45
2022-02-05,-0.34859
2022-02-06,-2.074
2022-02-07,-1.298
2022-02-08,-0.228
2022-02-09,0.1246
2022-02-10,-1.98432
2022-02-11,-1.2284
