일시,기온
2000-01-27,-7.708333333
2000-01-28,-5.6
2000-01-29,-2.504166667
2000-01-30,-2.829166667
2000-01-31,-7.233333333
2000-02-01,-7.766666667
2000-02-02,-4.483333333
2000-02-03,-2.958333333
2000-02-04,-3.733333333
2000-02-05,-2.091666667
2000-02-06,0.158333333
2000-02-07,-1.854166667
2000-02-08,-5.625
2000-02-09,-5.504166667
2000-02-10,-4.6875
2000-02-11,-0.816666667
